Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
Ps 315,Outreach,2310 Glenwood Road,BK,11210,Citywide Outreach,08/06/2024,Summer Camp,Grade 5,No,No,No,No,No,,40.633232,-73.954655,314.0,45.0,3205780.0,3075510026.0,772.0,BK1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 372 Children'S School (The),Outreach,512 Carroll Street,BK,11215,Citywide Outreach,08/06/2024,"Summer Camp
Summer Camp","Grade 4
Grade 5",No,No,No,No,No,,40.676668,-73.985258,306.0,39.0,3007707.0,3004550001.0,11901.0,BK0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA4 Man,Special Event,611 E 13th St,MN,10009,Citywide Outreach,08/06/2024,Other Special Event,Children,No,No,No,Yes,No,,40.728579,-73.978114,103.0,2.0,1077502.0,1003960010.0,28.0,MN0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA5,Special Event,221 East 123rd Street,MN,10035,Citywide Outreach,08/06/2024,"Other Special Event
Other Special Event","Older Adults
Children",No,No,No,Yes,Yes,,40.802127,-73.936108,111.0,8.0,1087233.0,1017880009.0,194.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochdale Village,Special Event,169-65 137th Avenue,QN,11434,Citywide Outreach,08/06/2024,Other Special Event,,No,No,No,No,No,,40.672622,-73.770641,412.0,28.0,4436348.0,4124950002.0,33405.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shore Hill Senior Housing,Outreach,9000 Shore Road,BK,11209,Citywide Outreach,08/06/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.622118,-74.040172,310.0,47.0,3322532.0,3060780010.0,5201.0,BK1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundance Older Adult Daycare 1,Outreach,486 Livona Ave,BK,11208,Citywide Outreach,08/06/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sundance Older Adult Daycare 2,Outreach,486 Livona Ave,BK,11208,Citywide Outreach,08/06/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #14,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,08/07/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #15,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,08/07/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club,Outreach,85-52 85th Street,QN,11421,Citywide Outreach,08/08/2024,"Summer Camp
Summer Camp","Grade 6
Grade 7",No,No,No,No,No,,40.694518,-73.859659,409.0,32.0,4181565.0,4088550020.0,12.0,QN0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club Madison Square,Outreach,250 Bradhurst Avenue,MN,10039,Citywide Outreach,08/08/2024,Summer Camp,Children,No,No,No,No,No,,40.829425,-73.938763,110.0,9.0,1060903.0,1020470044.0,23502.0,MN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #23,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,08/08/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #24,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,08/08/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy House Summer Camp,Outreach,1602 Avenue U,BK,11229,Citywide Outreach,08/08/2024,"Summer Camp
Summer Camp
Summer Camp","Grade 3
Grade 4
Grade 5",No,No,No,No,No,,40.598947,-73.955319,315.0,48.0,3199610.0,3073490001.0,580.0,BK1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASA- Senior Alliance OAC,Outreach,161 Corbin pl,BK,11235,Citywide Outreach,08/08/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.578026,-73.954127,315.0,48.0,3245719.0,3087190073.0,61004.0,BK1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennium Development at PS/IS 109K,Outreach,1001 E 45th Street,BK,11210,Citywide Outreach,08/08/2024,"Summer Camp
Summer Camp","Grade 4
Grade 5",No,No,No,No,No,,40.636455,-73.933582,317.0,45.0,3114526.0,3050220002.0,836.0,BK1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn South Program for Seniors,Outreach,290A 9th Avenue,MN,10001,Citywide Outreach,08/08/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.748925,-73.999545,104.0,3.0,1082794.0,1007510001.0,97.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps/Is 268,Outreach,92-07 175th Street,QN,11433,Citywide Outreach,08/08/2024,Summer Camp,Children,No,No,No,No,No,District 75,40.707537,-73.785626,412.0,27.0,4217573.0,4102150001.0,444.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tzu Chi Brooklyn Service Center Summer Program,Outreach,513 57 Street,BK,11220,Citywide Outreach,08/08/2024,"Summer Camp
Summer Camp
Summer Camp","Grade 3
Grade 4
Grade 6",No,No,No,No,No,,40.640879,-74.013869,307.0,38.0,3015430.0,3008407501.0,102.0,BK0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club Madison Square,Outreach,250 Bradhurst Avenue,MN,10039,Citywide Outreach,08/09/2024,Summer Camp,Children,No,No,No,No,No,,40.829425,-73.938763,110.0,9.0,1060903.0,1020470044.0,23502.0,MN1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Family Life at PS 503K/506K,Outreach,330 60th Street,BK,11220,Citywide Outreach,08/09/2024,"Summer Camp
Summer Camp","Grade 1
Grade 2",No,No,No,Yes,No,,40.641539,-74.019602,307.0,38.0,3143369.0,3057810019.0,72.0,BK0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Day Care Center,Child Passenger Safety,35 Division Street,MN,10002,Citywide Outreach,08/09/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.714143,-73.995787,103.0,1.0,1003514.0,1002810046.0,8.0,MN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL Polo Grounds Cornerstone,Outreach,3005 Frederick Douglass Boulevard,MN,10039,Citywide Outreach,08/09/2024,"Summer Camp
Summer Camp","Grade 1
Grade 2",No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps/Is 269,Outreach,92-07 175th Street,QN,11433,Citywide Outreach,08/09/2024,"Summer Camp
Summer Camp","Children
Children",No,No,No,No,No,District 75,40.707537,-73.785626,412.0,27.0,4217573.0,4102150001.0,444.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQPA Compass,Outreach,177-01 Baisley Boulevard,QN,11434,Citywide Outreach,08/09/2024,Summer Camp,Grade 5,No,No,No,No,No,,40.686284,-73.768455,412.0,27.0,4268835.0,4124060180.0,426.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starrett City Senior Center,Outreach,1540 VAn Sicklen Avenue,BK,11239,Citywide Outreach,08/09/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Greater Harlem Chamber of Commerce,Special Event,163 West 125 Street,MN,10027,Citywide Outreach,08/09/2024,Community Fair,Older Adults,No,No,Yes,Yes,Yes,,40.808644,-73.947524,110.0,9.0,1081602.0,1019100001.0,222.0,MN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMCA Coney Island,Outreach,2980 West 29th Street,BK,11224,Citywide Outreach,08/09/2024,Summer Camp,Grade 5,No,No,No,No,No,,40.573421,-73.995015,313.0,47.0,3414027.0,3070510133.0,342.0,BK1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOT Summer Streets Helmet Fitting - Harlem,Bike Safety,124th street and Adam Clayton Powell Blvd,MN,10027,Citywide Outreach,08/10/2024,"Helmet Fitting
Helmet Fitting","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP -3,Outreach,55 Water Street,MN,10038,Citywide Outreach,08/10/2024,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer Streets,Bike Safety,124th Street & Adam Clayton Powell Blvd,MN,10027,Citywide Outreach,08/10/2024,"Helmet Fitting
Helmet Fitting","Children
Adults",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Day in Harlem,Special Event,W 122nd Street & Riverside Drive,MN,10027,Citywide Outreach,08/11/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Foundation Summer Camp,Outreach,5023 Avenue M,BK,11234,Citywide Outreach,08/12/2024,Summer Camp,Children,No,No,No,No,No,,40.621385,-73.926828,318.0,46.0,3254589.0,3078480001.0,680.0,BK1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWI,DWI,5th Ave and 3rd Ave,BK,11215,Citywide Outreach,08/12/2024,Other DWI,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAL Polo Grounds Cornerstone,Outreach,3005 Frederick Douglass Boulevard,MN,10039,Citywide Outreach,08/12/2024,"Summer Camp
Summer Camp","Grade K
Grade 1",No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Team,Special Event,Atlantic and Ralph Ave,BK,11233,Citywide Outreach,08/12/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,4th Ave and 42nd Street,BK,11232,Citywide Outreach,08/12/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLC Adult Day Care,Outreach,78-14 Roosevelt Avenue,QN,11372,Citywide Outreach,08/12/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.747259,-73.887439,404.0,25.0,4036807.0,4014897501.0,267.0,QN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMCA at PS 200K,Outreach,1940 Benson Avenue,BK,11214,Citywide Outreach,08/12/2024,"Safer Streets
Safer Streets","Grade 4
Grade 4",No,No,No,Yes,No,,40.603188,-74.001408,311.0,38.0,3167818.0,3064070008.0,282.0,BK1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #1,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #2,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #3,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #4,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #5,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #6,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx Car Seat Check #7,Child Passenger Safety,2071 White Plains Road,BX,10462,Citywide Outreach,08/13/2024,Car Seat Check,Adults,No,No,No,Yes,No,,40.8526,-73.867773,211.0,13.0,2000000.0,2042860001.0,22401.0,BX1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Family Life at PS 1K,Outreach,309 47th Street,BK,11220,Citywide Outreach,08/13/2024,Summer Camp,Grade 5,No,No,No,Yes,No,,40.649042,-74.012289,307.0,38.0,3011821.0,3007550022.0,80.0,BK0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millennium Development at PS/IS 109K,Outreach,1001 E 45th Street,BK,11210,Citywide Outreach,08/13/2024,"Summer Camp
Summer Camp","Grade K
Grade 1",No,No,No,No,No,,40.636455,-73.933582,317.0,45.0,3114526.0,3050220002.0,836.0,BK1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Laurence Church,Special Event,12265 Flatlands Avenue,BK,11207,Citywide Outreach,08/13/2024,Community Fair,Older Adults,No,No,Yes,Yes,Yes,,40.654875,-73.881385,305.0,42.0,3098109.0,3044190039.0,1078.0,BK0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Family Life at PS 1K,Outreach,309 47th Street,BK,11220,Citywide Outreach,08/14/2024,Summer Camp,Grade 4,No,No,No,Yes,No,,40.649042,-74.012289,307.0,38.0,3011821.0,3007550022.0,80.0,BK0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peters Parish,Material Distribution,,BK,,,04/27/2018,Other Not for Profit,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVAP - (6PM),Outreach,55 Water St Bid Room,MN,10038,Citywide Outreach,08/14/2024,DVAP,Adults,No,No,No,No,No,,40.703608,-74.009691,101.0,1.0,1083346.0,1000327501.0,9.0,MN0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWI,DWI,Diversity Plaza- 73rd Street and 37th Road,QN,11372,Citywide Outreach,08/14/2024,Other DWI,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANAC Angelo Petromelis Neighborhood Center,Outreach,12-28 123 Street,QN,11356,Citywide Outreach,08/14/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medgar Evers College Preparatory School,Special Event,1186 Carroll Street,BK,11225,Citywide Outreach,08/14/2024,"Community Fair
Community Fair","Children
Adults",No,No,No,No,No,,40.667195,-73.951167,309.0,35.0,3348092.0,3012890025.0,321.0,BK0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nan Shan Older Adult Center,Outreach,"133-14 41 Avenue,",MN,11355,Citywide Outreach,08/14/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD Community Center,Outreach,127 Pennsylvania Avenue,BK,11207,Citywide Outreach,08/14/2024,"DWI – Dangers, Decisions",Children,No,No,No,Yes,No,,40.674814,-73.896606,305.0,37.0,3083515.0,3036870001.0,1198.0,BK0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQPA SONIC,Outreach,177-01 Baisley Boulevard,QN,11434,Citywide Outreach,08/14/2024,"Summer Camp
Summer Camp","Grade 6
Grade 7",No,No,No,No,No,,40.686284,-73.768455,412.0,27.0,4268835.0,4124060180.0,426.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQPA SONIC,Outreach,177-01 Baisley Boulevard,QN,11434,Citywide Outreach,08/14/2024,"Summer Camp
Summer Camp","Grade 6
Grade 7",No,No,No,Yes,No,,40.686284,-73.768455,412.0,27.0,4268835.0,4124060180.0,426.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Atlantic  and Vanderbilt Ave,BK,11238,Citywide Outreach,08/14/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Rooselvelt Ave & 74th,QN,11373,Citywide Outreach,08/14/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Camp MS 328,Outreach,401 W 164th Street,MN,10032,Citywide Outreach,08/15/2024,Summer Camp,"Grade 6
Grade 7",No,No,No,No,No,,40.836506,-73.93709,112.0,10.0,1062636.0,1021110024.0,24301.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bergen Beach Youth Organization  P.S. 203K COMPASS Program,Outreach,5101 Avenue M,BK,11234,Citywide Outreach,08/15/2024,Summer Camp,Grade 2,No,No,No,No,No,,40.621436,-73.925989,318.0,46.0,3218626.0,3078490001.0,680.0,BK1801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club,Outreach,110-04 Atlantic Ave,QN,11419,Citywide Outreach,08/15/2024,"Summer Camp
Summer Camp","Grade 7
Grade 8",No,No,No,Yes,No,,40.691903,-73.835613,409.0,29.0,4197430.0,4093960001.0,118.0,QN0903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children's Aid Early Childhood,Outreach,117 West 124th Street,MN,10027,Citywide Outreach,08/15/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.807436,-73.946748,110.0,9.0,1089537.0,1019097501.0,222.0,MN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commission on Human Rights,Special Event,"Hillel place, Nostrand ave and, Flatbush Ave",BK,11210,Citywide Outreach,08/15/2024,"Community Fair
Community Fair","Adults
Children",No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWI,DWI,Pacific Street & Nostrand AVe,BK,11216,Citywide Outreach,08/15/2024,Other DWI,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JASA - Wasserman Cares NORC,Outreach,535 Neptune Ave,BK,11201,Citywide Outreach,08/15/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.579887,-73.973065,313.0,47.0,3257102.0,3072500001.0,354.0,BK1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Teams,Special Event,Nostrand & Atlantic Ave,BK,11216,Citywide Outreach,08/15/2024,Street Teams,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traditional Day Care Center Inc.,Outreach,1112 Winthrop Street,BK,11212,Citywide Outreach,08/15/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.662008,-73.923061,317.0,41.0,3100654.0,3046310007.0,884.0,BK1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMCA Summer Camp at PS 124K,Outreach,515 4th Avenue,BK,11215,Citywide Outreach,08/15/2024,"Summer Camp
Summer Camp
Safer Streets","Grade 2
Grade 3
Grade 4",No,No,No,Yes,No,,40.667545,-73.991046,306.0,38.0,3023391.0,3010340001.0,14101.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abe Stark Neighborhood Senior Center,Outreach,103-15 Farragut Road,BK,11236,Citywide Outreach,08/16/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.649668,-73.89929,318.0,42.0,3229152.0,3081520201.0,1098.0,BK0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OASIS BEACON CENTER @I.S.323,Special Event,210 Chester Street,BK,11212,Citywide Outreach,08/16/2024,Community Fair,Children,No,No,No,No,No,,40.666545,-73.910904,316.0,41.0,3081442.0,3035420001.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiseBoro Community Partnership,Special Event,Knickerbocker Avenue and Starr Street,BK,11237,Citywide Outreach,08/16/2024,Community Fair,Older Adults,No,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQPA SONIC,Outreach,177-01 Baisley Boulevard,QN,11434,Citywide Outreach,08/16/2024,Summer Camp,Grade 8,No,No,No,Yes,No,,40.686284,-73.768455,412.0,27.0,4268835.0,4124060180.0,426.0,QN1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Barnabas Health & Wellness Center (2),Outreach,4507  Third Avenue,BX,10457,Citywide Outreach,08/16/2024,Safety Shower,Adults,No,Yes,No,No,No,,40.853563,-73.891434,206.0,15.0,2128231.0,2030517501.0,385.0,BX0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Neighborhood Health Action Center,Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,08/17/2024,Parent Workshop,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
